Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed,Location
0,"Sheffield extra",6,18991230,116,"Close to kerb so theoretically only 3 spaces",CEC,Tesco,,,Y,326165,673036,,"55.94468,-3.18375"
0,"Sheffield extra",4,18991230,117,,CEC,"St.Patrick Square",,,Y,326197,672842,,"55.94294,-3.18319"
0,"Sheffield extra",2,18991230,118,,CEC,,Black,,Y,326018,673399,,"55.94792,-3.18621"
0,Sheffield,10,18991230,119,,,"Cameron Toll shopping centre",,,Y,327338,671122,,"55.92766,-3.16446"
0,Sheffield,4,18991230,120,,,,"Stainless steel",,Y,326071,673690,,"55.95054,-3.18544"
0,"Sheffield extra",10,18991230,121,,CEC,,,,Y,326156,673818,,"55.9517,-3.18411"
0,"Sheffield extra",2,18991230,122,,CEC,,,,Y,326350,672628,,"55.94104,-3.18068"
0,"Sheffield extra",4,18991230,123,,CEC,,,,Y,326361,672615,,"55.94093,-3.1805"
0,"Sheffield extra",4,18991230,124,,CEC,,,,Y,326397,672422,,"55.9392,-3.17987"
0,"Sheffield extra",4,18991230,125,,CEC,,,,Y,326413,672398,,"55.93898,-3.17961"
0,"Sheffield extra",4,18991230,126,,CEC,,,,Y,326442,672310,,"55.9382,-3.17912"
0,Sheffield,11,18991230,127,,CEC,"Commonwealth Pool","Unfinished steel",,Y,326790,672412,,"55.93917,-3.17358"
0,"Wheel benders",6,18991230,128,,CEC,"Commonwealth Pool","Blue paint",,Y,326797,672392,,"55.93899,-3.17346"
0,Sheffield,6,18991230,129,,,"Newington Library",,,Y,326378,671640,,"55.93217,-3.17996"
0,"Sheffield extra",6,18991230,130,,CEC,,,,Y,324509,671897,,"55.93419,-3.20994"
0,"Short Sheffields",12,18991230,131,"Too closely spaced",,Tesco,,,Y,324475,671895,,"55.93416,-3.21048"
0,Sheffield,10,18991230,132,,,"Festival Square","Stainless steel",,Y,324761,673310,,"55.94692,-3.2063"
0,Sheffield,12,18991230,133,,,"Assembly Rooms",,,Y,325247,674013,,"55.95331,-3.19871"
0,"Sheffield extra",16,18991230,134,,CEC,,Black,,Y,325564,674051,,"55.9537,-3.19364"
0,"Sheffield extra",12,18991230,135,"Removed by TIE - to be replaced?",CEC,,Black,,,325655,674074,,"55.95392,-3.19219"
0,Bespoke,8,18991230,136,,,,,,Y,325935,673912,,"55.95251,-3.18768"
0,Sheffield,12,18991230,137,,,,,,Y,325938,673899,,"55.9524,-3.18762"
0,"Sheffield (toast-rack)",60,18991230,138,"Substandard spacing?",,,"Stainless steel",,Y,325974,673897,,"55.95238,-3.18705"
0,Double-decker,60,01/08/2010,139,,"Network Rail","Waverley station",,,Y,325791,673824,,"55.9517,-3.18996"
0,Lockers,5,18991230,140,,"Network Rail",,,,Y,318393,671262,,"55.92748,-3.30762"
0,Sheffield,10,18991230,141,,"Network Rail",,,,Y,318393,671258,,"55.92745,-3.30761"
0,Sheffield,10,18991230,142,,"Network Rail",,,,Y,318361,671285,,"55.92769,-3.30813"
0,"Sheffield (toast-rack)",10,18991230,143,,"Network Rail",,,,Y,318362,671280,,"55.92764,-3.30812"
0,"Sheffield (toast-rack)",10,18991230,144,,"Network Rail",,,,Y,318365,671281,,"55.92765,-3.30807"
0,Sheffield,2,18991230,145,,,"City Arts Centre",Black,,Y,325817,673753,,"55.95107,-3.18952"
0,Sheffield,16,18991230,146,,,"National Portrait Gallery",Green,,N,325417,673806,,"55.95148,-3.19593"
0,Sheffield,4,18991230,147,,,,,,Y,325711,673109,,"55.94526,-3.19103"
0,Sheffield,10,18991230,148,"Exact location to be confirmed",,,,,Y,325472,673044,,"55.94464,-3.19484"
0,Austrian,12,01/08/2008,149,,"University of Edinburgh","Informatics Centre","Stainless steel",,Y,325920,673041,,"55.94469,-3.18768"
0,Austrian,12,01/01/2008,150,,"University of Edinburgh","Informatics Centre","Stainless steel",,Y,325916,673057,,"55.94483,-3.18775"
0,Austrian,12,01/01/2008,151,,"University of Edinburgh","Informatics Centre","Stainless steel",,Y,325904,673105,,"55.94526,-3.18795"
0,"Sheffield (toast-rack)",20,18991230,152,,"University of Edinburgh",,,,Y,325959,672914,,"55.94355,-3.18702"
0,"Sheffield (toast-rack)",12,18991230,153,,"University of Edinburgh","George Square Theatre",,,Y,325875,672849,,"55.94295,-3.18833"
0,"Sheffield (toast-rack)",12,18991230,154,,"University of Edinburgh","George Square Library",,,Y,325866,672849,,"55.94295,-3.18848"
0,Sheffield,26,18991230,155,,"University of Edinburgh","Adam Ferguson Building","Gun metal",,Y,325957,672858,,"55.94305,-3.18703"
0,Sheffield,26,18991230,156,,"University of Edinburgh","Adam Ferguson Building","Gun metal",,Y,325924,672850,,"55.94297,-3.18756"
0,Sheffield,12,18991230,157,,,"Haymarket Station",,,Y,324074,673207,,"55.94589,-3.21727"
0,"Pedestrian guardrail",10,18991230,158,,CEC,"Haymarket Station",,,Y,324082,673202,,"55.94584,-3.21714"
0,"Pedestrian guardrail",10,18991230,159,,CEC,"Haymarket Station",,,Y,324074,673226,,"55.94606,-3.21727"
0,"Sheffield extra",1,18991230,160,,CEC,,,,Y,326154,673014,,"55.94448,-3.18392"
0,"Sheffield extra",1,18991230,161,,CEC,,,,Y,326104,673172,,"55.94589,-3.18477"
0,"Sheffield (long)",2,18991230,162,"Close to wall",,,,,Y,326097,673202,,"55.94616,-3.18489"
0,"Sheffield extra",4,18991230,163,,CEC,,,,Y,326040,673322,,"55.94723,-3.18583"
0,"Sheffield extra

xtra",4,18991230,164,,,,,,Y,326037,673331,,"55.94731,-3.18588"
0,"Sheffield extra",2,18991230,165,,CEC,,Black,,Y,326016,673412,,"55.94803,-3.18624"
0,Sheffield,4,18991230,166,,,,"Stainless steel",,Y,325890,674003,,"55.95332,-3.18842"
0,"Sheffield (toast-rack)",8,18991230,167,,"University of Edinburgh","Hugh Robson Building","Gun metal",,Y,325764,672986,,"55.94417,-3.19015"
0,"Sheffield (toast-rack)",8,18991230,168,,"University of Edinburgh","Hugh Robson Building","Gun metal",,Y,325773,672989,,"55.9442,-3.19001"
0,"Sheffield (toast-rack)",16,18991230,169,,"University of Edinburgh","Hugh Robson Building","Gun metal",,Y,325793,672994,,"55.94424,-3.18969"
0,"Sheffield (toast-rack)",8,18991230,170,,"University of Edinburgh","Hugh Robson Building","Gun metal",,Y,325780,672990,,"55.94421,-3.18989"
0,Sheffield,2,18991230,171,,,,,,Y,323699,673232,,"55.94605,-3.22328"
0,Sheffield,8,18991230,172,,,,Black,,Y,324720,673168,,"55.94564,-3.20691"
0,"Sheffield extra",2,18991230,173,,CEC,,,,Y,326154,673031,,"55.94463,-3.18393"
0,"Sheffield extra",4,18991230,174,,CEC,,,,Y,326416,672445,,"55.93941,-3.17957"
0,Sheffield,10,18991230,175,,,Fountainpark,,,Y,324048,672694,,"55.94128,-3.21754"
